Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Relationship_Status,Conflicts_Over_Social_Media,Unnamed: 11,Gender_num,Academic_Level_num,Country_num,Most_Used_Platform_num,Relationship_Status_num
23,22,Female,Undergraduate,Mexico,8.0,TikTok,1,6.0,Single,1.0,,0,0,0,3,0
24,23,Female,Graduate,Mexico,4.0,Facebook,1,6.0,Single,0.0,,0,1,0,1,0
25,26,Female,High School,Mexico,7.0,TikTok,0,5.0,Single,1.0,,0,2,0,3,0
26,25,Male,High School,Mexico,5.0,Instagram,1,8.0,In Relationship,0.0,,1,2,0,2,1
27,16,Male,High School,Mexico,6.0,YouTube,1,5.0,In Relationship,3.0,,1,2,0,4,1
28,18,Female,Undergraduate,Mexico,6.0,TikTok,0,5.0,In Relationship,4.0,,0,0,0,3,1
29,19,Male,Undergraduate,Mexico,6.0,TikTok,0,5.0,In Relationship,1.0,,1,0,0,3,1
30,18,Female,High School,Mexico,4.0,Instagram,0,6.0,In Relationship,1.0,,0,2,0,2,1
31,21,Male,Undergraduate,Mexico,5.0,Instagram,0,4.0,Single,3.0,,1,0,0,2,0
32,23,Male,High School,Mexico,5.0,Instagram,1,5.0,Single,2.0,,1,2,0,2,0
33,21,Male,High School,Mexico,4.0,YouTube,0,6.0,Single,0.0,,1,2,0,4,0
34,23,Male,Graduate,Mexico,2.0,Twitter,0,7.0,In Relationship,3.0,,1,1,0,0,1
35,24,Male,Graduate,Mexico,3.0,Instagram,0,6.0,Single,1.0,,1,1,0,2,0
36,22,Female,Graduate,Mexico,5.0,Facebook,1,7.0,In Relationship,3.0,,0,1,0,1,1
37,22,Female,Undergraduate,Mexico,8.0,Instagram,1,5.0,In Relationship,1.0,,0,0,0,2,1
38,24,Female,High School,Mexico,4.0,Instagram,0,6.0,In Relationship,1.0,,0,2,0,2,1
39,21,Male,Undergraduate,Mexico,5.0,Instagram,0,6.0,Single,2.0,,1,0,0,2,0
40,20,Female,Undergraduate,Mexico,6.0,Facebook,0,5.0,In Relationship,3.0,,0,0,0,1,1
41,15,Male,High School,Mexico,5.0,Facebook,1,6.0,Single,5.0,,1,2,0,1,0
42,19,Male,Undergraduate,Mexico,7.0,Facebook,1,5.0,In Relationship,0.0,,1,0,0,1,1
43,23,Female,High School,Mexico,7.0,YouTube,1,5.0,Single,2.0,,0,2,0,4,0
44,27,Female,Graduate,Mexico,4.0,Twitter,1,6.0,Single,2.0,,0,1,0,0,0
45,22,Male,Undergraduate,Mexico,8.0,Facebook,1,5.0,In Relationship,2.0,,1,0,0,1,1
46,19,Female,Undergraduate,Mexico,6.0,YouTube,0,6.0,Single,4.0,,0,0,0,4,0
47,20,Male,Undergraduate,Mexico,6.0,TikTok,1,5.0,Single,5.0,,1,0,0,3,0
48,25,Male,Undergraduate,Mexico,6.0,Facebook,1,7.0,In Relationship,1.0,,1,0,0,1,1
49,20,Female,Graduate,Mexico,7.0,Facebook,0,7.0,In Relationship,1.0,,0,1,0,1,1
50,23,Male,Undergraduate,Mexico,4.0,Facebook,0,5.0,In Relationship,1.0,,1,0,0,1,1
51,21,Male,Undergraduate,Mexico,3.0,TikTok,0,7.0,Single,1.0,,1,0,0,3,0
52,21,Female,Undergraduate,Mexico,5.0,Twitter,0,6.0,In Relationship,2.0,,0,0,0,0,1
53,28,Female,Graduate,Mexico,4.0,TikTok,0,7.0,Single,2.0,,0,1,0,3,0
54,21,Male,Graduate,Mexico,5.0,Facebook,1,6.0,Single,2.0,,1,1,0,1,0
55,20,Male,Undergraduate,Mexico,8.0,TikTok,1,4.0,Single,9.0,,1,0,0,3,0
56,22,Female,Graduate,Mexico,4.0,Facebook,0,7.0,In Relationship,0.0,,0,1,0,1,1
57,17,Female,High School,Mexico,5.0,Facebook,0,6.0,In Relationship,2.0,,0,2,0,1,1
58,16,Male,High School,Mexico,6.0,Twitter,1,6.0,Single,1.0,,1,2,0,0,0
59,18,Female,High School,Mexico,8.0,Instagram,1,3.0,Single,2.0,,0,2,0,2,0
60,22,Male,Undergraduate,Mexico,6.0,Instagram,1,6.0,In Relationship,3.0,,1,0,0,2,1
61,21,Female,Undergraduate,Mexico,7.0,YouTube,1,5.0,Single,4.0,,0,0,0,4,0
62,19,Male,Undergraduate,Mexico,8.0,Twitter,1,4.0,In Relationship,1.0,,1,0,0,0,1
63,27,Female,Graduate,Mexico,4.0,Facebook,1,6.0,In Relationship,6.0,,0,1,0,1,1
64,20,Male,Undergraduate,Mexico,7.0,Instagram,1,4.0,In Relationship,7.0,,1,0,0,2,1
65,18,Female,Undergraduate,Mexico,7.0,Facebook,1,6.0,Single,2.0,,0,0,0,1,0
66,18,Female,Undergraduate,Mexico,7.0,Instagram,1,4.0,In Relationship,2.0,,0,0,0,2,1
67,18,Male,High School,Mexico,4.0,Instagram,0,7.0,In Relationship,1.0,,1,2,0,2,1
68,27,Female,Graduate,Mexico,4.0,Instagram,1,6.0,In Relationship,0.0,,0,1,0,2,1
69,18,Male,High School,Mexico,6.0,Twitter,1,6.0,Single,4.0,,1,2,0,0,0
70,24,Female,Graduate,Mexico,4.0,TikTok,1,5.0,In Relationship,2.0,,0,1,0,3,1
71,21,Male,Undergraduate,Mexico,7.0,Facebook,1,5.0,In Relationship,5.0,,1,0,0,1,1
72,18,Female,High School,Mexico,5.0,Twitter,1,5.0,Single,5.0,,0,2,0,0,0
73,17,Male,High School,Mexico,4.0,Instagram,0,6.0,In Relationship,1.0,,1,2,0,2,1
74,25,Female,Graduate,Mexico,5.0,Instagram,1,6.0,In Relationship,1.0,,0,1,0,2,1
75,20,Male,Undergraduate,Mexico,5.0,Twitter,0,5.0,Single,2.0,,1,0,0,0,0
76,19,Female,Undergraduate,Mexico,5.0,Twitter,0,6.0,In Relationship,5.0,,0,0,0,0,1
77,20,Male,Undergraduate,Mexico,6.0,YouTube,0,5.0,Complicated,4.0,,1,0,0,4,2
78,17,Male,High School,Mexico,5.0,Facebook,0,6.0,Complicated,2.0,,1,2,0,1,2
79,20,Male,Undergraduate,Mexico,5.0,Twitter,0,6.0,Single,1.0,,1,0,0,0,0
80,18,Female,High School,Mexico,6.0,Facebook,1,5.0,Single,2.0,,0,2,0,1,0
81,28,Male,Graduate,Mexico,3.0,YouTube,0,7.0,In Relationship,6.0,,1,1,0,4,1
82,21,Female,Undergraduate,Mexico,8.0,YouTube,1,5.0,In Relationship,4.0,,0,0,0,4,1
83,18,Male,Undergraduate,Mexico,5.0,Facebook,0,6.0,Single,0.0,,1,0,0,1,0
84,15,Female,High School,Mexico,6.0,Instagram,1,5.0,In Relationship,2.0,,0,2,0,2,1
85,19,Male,Undergraduate,Mexico,6.0,TikTok,0,5.0,In Relationship,5.0,,1,0,0,3,1
86,18,Female,Undergraduate,Mexico,4.0,Instagram,0,5.0,In Relationship,2.0,,0,0,0,2,1
87,20,Female,Undergraduate,Mexico,5.0,Instagram,0,5.0,In Relationship,9.0,,0,0,0,2,1
88,21,Male,Undergraduate,Mexico,7.0,Instagram,1,4.0,Single,4.0,,1,0,0,2,0
89,30,Female,Graduate,Mexico,4.0,Twitter,1,7.0,Single,1.0,,0,1,0,0,0
90,18,Female,Undergraduate,Mexico,6.0,YouTube,0,5.0,Single,2.0,,0,0,0,4,0
91,16,Male,High School,Mexico,3.0,Instagram,0,6.0,In Relationship,3.0,,1,2,0,2,1
92,19,Female,Undergraduate,Mexico,7.0,YouTube,1,4.0,Single,5.0,,0,0,0,4,0
93,20,Female,Undergraduate,Mexico,8.0,Facebook,1,4.0,Single,4.0,,0,0,0,1,0
94,21,Female,Undergraduate,Mexico,8.0,TikTok,1,4.0,Single,4.0,,0,0,0,3,0
95,19,Male,Undergraduate,Mexico,5.0,Facebook,0,6.0,In Relationship,2.0,,1,0,0,1,1
96,18,Female,Undergraduate,Mexico,6.0,Facebook,1,5.0,In Relationship,2.0,,0,0,0,1,1
97,21,Male,Undergraduate,Mexico,7.0,Twitter,1,5.0,Single,3.0,,1,0,0,0,0
98,21,Female,Undergraduate,Mexico,5.0,TikTok,0,5.0,Single,4.0,,0,0,0,3,0
99,18,Female,High School,Mexico,5.0,Facebook,1,6.0,In Relationship,1.0,,0,2,0,1,1
100,18,Female,High School,Mexico,6.0,Facebook,1,5.0,Single,0.0,,0,2,0,1,0
101,20,Male,Undergraduate,Mexico,6.0,TikTok,1,5.0,Single,4.0,,1,0,0,3,0
102,21,Female,Undergraduate,Mexico,5.0,TikTok,0,5.0,Single,3.0,,0,0,0,3,0
103,22,Female,Undergraduate,Mexico,5.0,Facebook,0,6.0,Single,3.0,,0,0,0,1,0
104,22,Male,Undergraduate,Mexico,7.0,TikTok,1,5.0,Single,3.0,,1,0,0,3,0
105,28,Female,Graduate,Mexico,5.0,Facebook,1,5.0,Single,2.0,,0,1,0,1,0
106,18,Male,Undergraduate,Mexico,4.0,Facebook,0,5.0,Single,3.0,,1,0,0,1,0
107,18,Male,Undergraduate,Mexico,4.0,Twitter,0,6.0,In Relationship,2.0,,1,0,0,0,1
108,20,Female,Undergraduate,Mexico,6.0,Instagram,0,5.0,Single,2.0,,0,0,0,2,0
109,20,Male,Undergraduate,Mexico,5.0,Facebook,0,5.0,In Relationship,0.0,,1,0,0,1,1
110,18,Female,High School,Mexico,5.0,YouTube,0,5.0,In Relationship,4.0,,0,2,0,4,1
111,20,Male,Undergraduate,Mexico,6.0,Instagram,0,4.0,Single,6.0,,1,0,0,2,0
112,18,Male,High School,Mexico,6.0,Instagram,1,5.0,In Relationship,1.0,,1,2,0,2,1
113,29,Female,Graduate,Mexico,4.0,Instagram,1,6.0,Single,4.0,,0,1,0,2,0
114,27,Male,Graduate,Mexico,4.0,Twitter,1,5.0,In Relationship,1.0,,1,1,0,0,1
115,18,Male,Undergraduate,Mexico,5.0,Facebook,0,6.0,Single,1.0,,1,0,0,1,0
116,29,Male,Graduate,Mexico,1.0,Twitter,0,7.0,Single,0.0,,1,1,0,0,0
117,25,Male,Graduate,Mexico,5.0,Facebook,1,7.0,Single,0.0,,1,1,0,1,0
118,17,Male,High School,Mexico,7.0,Twitter,1,4.0,In Relationship,4.0,,1,2,0,0,1
119,21,Male,Graduate,Mexico,8.0,Facebook,1,7.0,In Relationship,0.0,,1,1,0,1,1
120,22,Female,Undergraduate,Mexico,4.0,TikTok,1,6.0,In Relationship,1.0,,0,0,0,3,1
121,26,Male,Undergraduate,Mexico,5.0,Facebook,1,8.0,In Relationship,1.0,,1,0,0,1,1
122,22,Male,Graduate,Mexico,6.0,Instagram,0,5.0,Single,0.0,,1,1,0,2,0
123,21,Female,Undergraduate,Mexico,2.0,Instagram,0,5.5,In Relationship,0.0,,0,0,0,2,1
124,19,Male,Undergraduate,Mexico,4.0,Facebook,1,5.0,Single,0.0,,1,0,0,1,0
125,19,Male,High_School,Mexico,6.0,TikTok,1,4.0,In Relationship,0.0,,1,3,0,3,1
126,19,Female,High_School,Mexico,8.0,YouTube,1,7.5,In Relationship,0.0,,0,3,0,4,1
127,20,Male,Undergraduate,Mexico,8.5,TikTok,1,6.5,In Relationship,0.0,,1,0,0,3,1
128,19,Female,Undergraduate,Mexico,4.5,Instagram,1,3.5,Single,0.0,,0,0,0,2,0
129,19,Male,Undergraduate,Mexico,3.0,Instagram,0,4.5,In Relationship,0.0,,1,0,0,2,1
130,22,Female,High_School,Mexico,1.0,TikTok,1,6.0,In Relationship,0.0,,0,3,0,3,1
131,20,Female,Undergraduate,Mexico,6.5,TikTok,1,7.5,In Relationship,0.0,,0,0,0,3,1
132,20,Female,Graduate,Mexico,3.5,LinkedIn,1,11.0,Single,0.0,,0,1,0,5,0
133,20,Male,Graduate,Mexico,1.5,Instagram,0,4.5,Single,0.0,,1,1,0,2,0
134,21,Male,High_School,Mexico,2.5,Instagram,0,7.5,In Relationship,0.0,,1,3,0,2,1
135,25,Male,Undergraduate,Mexico,1.5,YouTube,0,6.0,In Relationship,0.0,,1,0,0,4,1
136,21,Male,Undergraduate,Mexico,4.0,TikTok,1,8.0,Single,0.0,,1,0,0,3,0
137,21,Male,Undergraduate,Mexico,5.0,TikTok,1,4.0,Single,0.0,,1,0,0,3,0
138,21,Female,Undergraduate,Mexico,3.0,TikTok,1,8.0,In Relationship,0.0,,0,0,0,3,1
139,21,Male,Undergraduate,Mexico,6.0,TikTok,1,7.0,Single,0.0,,1,0,0,3,0
140,21,Male,Undergraduate,Mexico,5.5,TikTok,1,8.0,Single,0.0,,1,0,0,3,0
141,18,Female,Graduate,Mexico,4.0,Instagram,1,6.0,Single,0.0,,0,1,0,2,0
142,22,Male,High_School,Mexico,10.0,Instagram,1,6.0,In Relationship,0.0,,1,3,0,2,1
143,20,Male,High_School,Mexico,3.0,TikTok,1,9.0,Single,0.0,,1,3,0,3,0
144,21,Male,Undergraduate,Mexico,12.0,WhatsApp,1,7.0,In Relationship,0.0,,1,0,0,6,1
145,19,Female,Graduate,Mexico,9.5,TikTok,1,8.5,Single,0.0,,0,1,0,3,0
146,21,Male,High_School,Mexico,10.0,TikTok,1,3.0,Single,0.0,,1,3,0,3,0
147,20,Male,Graduate,Mexico,5.0,TikTok,1,5.5,In Relationship,0.0,,1,1,0,3,1
148,20,Male,Undergraduate,Mexico,7.0,TikTok,1,11.5,In Relationship,0.0,,1,0,0,3,1
149,20,Female,Graduate,Mexico,4.0,Facebook,1,6.5,In Relationship,0.0,,0,1,0,1,1
150,19,Male,High_School,Mexico,2.5,TikTok,1,3.0,Single,0.0,,1,3,0,3,0
151,22,Male,Undergraduate,Mexico,6.0,TikTok,1,7.0,In Relationship,0.0,,1,0,0,3,1
152,20,Female,Undergraduate,Mexico,2.5,WhatsApp,0,7.5,In Relationship,0.0,,0,0,0,6,1
153,20,Male,Graduate,Mexico,12.0,LinkedIn,1,0.0,Complicated,0.0,,1,1,0,5,2
154,20,Female,Undergraduate,Mexico,4.0,Instagram,1,7.0,In Relationship,0.0,,0,0,0,2,1
155,23,Female,Undergraduate,Bangladesh,5.0,Instagram,1,9.0,Single,0.0,,0,0,1,2,0
156,20,Male,Undergraduate,Mexico,4.5,TikTok,1,8.0,In Relationship,0.0,,1,0,0,3,1
157,25,Female,Undergraduate,Mexico,3.0,YouTube,1,6.5,In Relationship,0.0,,0,0,0,4,1
158,16,Female,High_School,Mexico,2.0,TikTok,1,7.5,Single,0.0,,0,3,0,3,0
159,43,Male,Graduate,Mexico,0.5,WhatsApp,1,4.5,Single,0.0,,1,1,0,6,0
160,17,Male,Graduate,Mexico,4.0,WhatsApp,1,8.0,Single,0.0,,1,1,0,6,0
161,24,Male,Graduate,Mexico,5.0,TikTok,1,7.0,In Relationship,0.0,,1,1,0,3,1
162,20,Male,Undergraduate,Mexico,3.5,WhatsApp,1,7.0,Single,0.0,,1,0,0,6,0
163,18,Male,Undergraduate,Mexico,6.0,TikTok,1,6.0,Single,0.0,,1,0,0,3,0
164,18,Female,Undergraduate,Mexico,4.5,TikTok,1,6.0,Single,0.0,,0,0,0,3,0
165,20,Female,Undergraduate,Mexico,4.0,TikTok,1,6.0,Single,0.0,,0,0,0,3,0
166,21,Male,Graduate,USA,2.0,TikTok,1,7.5,In Relationship,0.0,,1,1,2,3,1
167,20,Male,High_School,Mexico,1.5,TikTok,0,5.0,In Relationship,0.0,,1,3,0,3,1
168,20,Female,Undergraduate,Mexico,12.0,TikTok,1,1.0,Single,0.0,,0,0,0,3,0
169,22,Female,Undergraduate,Mexico,3.5,TikTok,1,8.0,Single,0.0,,0,0,0,3,0
170,24,Female,Graduate,Mexico,3.0,WhatsApp,0,7.0,Single,0.0,,0,1,0,6,0
171,23,Female,Graduate,Mexico,4.5,TikTok,1,7.0,Single,0.0,,0,1,0,3,0
172,21,Male,Undergraduate,Mexico,4.0,TikTok,1,8.0,In Relationship,0.0,,1,0,0,3,1
173,20,Female,Undergraduate,Brazil,0.0,TikTok,0,0.0,Single,0.0,,0,0,3,3,0
174,23,Male,High_School,Mexico,5.5,TikTok,1,6.0,In Relationship,0.0,,1,3,0,3,1
175,42,Male,High_School,Mexico,4.0,TikTok,1,9.5,In Relationship,0.0,,1,3,0,3,1
176,17,Male,High_School,Mexico,4.0,TikTok,1,8.0,Single,0.0,,1,3,0,3,0
177,22,Female,Undergraduate,Mexico,8.0,Instagram,1,8.5,Single,0.0,,0,0,0,2,0
178,20,Female,Undergraduate,Mexico,12.0,TikTok,1,0.0,Complicated,0.0,,0,0,0,3,2
179,17,Female,High_School,Mexico,3.0,TikTok,0,7.0,In Relationship,0.0,,0,3,0,3,1
180,17,Male,High_School,Mexico,2.5,TikTok,0,5.0,In Relationship,0.0,,1,3,0,3,1
181,21,Female,High_School,Mexico,3.0,TikTok,1,8.0,Single,0.0,,0,3,0,3,0
182,19,Male,High_School,Mexico,5.0,TikTok,1,5.5,In Relationship,0.0,,1,3,0,3,1
183,21,Male,Undergraduate,Mexico,5.0,TikTok,1,8.0,Single,0.0,,1,0,0,3,0
184,26,Male,Graduate,Mexico,3.5,Instagram,1,7.0,Single,0.0,,1,1,0,2,0
185,20,Female,Graduate,Mexico,8.5,Instagram,1,8.0,Single,0.0,,0,1,0,2,0
186,21,Male,Undergraduate,Mexico,5.0,TikTok,1,8.0,Single,0.0,,1,0,0,3,0
187,20,Female,Undergraduate,Mexico,8.0,TikTok,1,9.5,Single,0.0,,0,0,0,3,0
188,20,Male,Undergraduate,Mexico,9.5,TikTok,1,10.0,Single,0.0,,1,0,0,3,0
189,25,Female,Graduate,Mexico,5.0,YouTube,1,5.5,In Relationship,0.0,,0,1,0,4,1
190,20,Female,Graduate,Mexico,3.0,TikTok,0,8.5,Single,0.0,,0,1,0,3,0
191,24,Male,Graduate,Mexico,9.0,Instagram,1,8.5,In Relationship,0.0,,1,1,0,2,1
192,53,Female,Undergraduate,Mexico,3.0,Facebook,0,4.5,Complicated,0.0,,0,0,0,1,2
193,18,Female,High_School,Mexico,3.0,TikTok,0,6.5,Single,0.0,,0,3,0,3,0
194,19,Male,Undergraduate,Mexico,9.0,TikTok,1,8.0,In Relationship,0.0,,1,0,0,3,1
195,18,Male,High_School,Mexico,3.5,YouTube,1,7.5,In Relationship,0.0,,1,3,0,4,1
196,25,Female,Graduate,Mexico,1.5,Instagram,1,5.5,In Relationship,0.0,,0,1,0,2,1
197,30,Male,Graduate,Mexico,2.5,YouTube,0,7.0,Complicated,0.0,,1,1,0,4,2
198,21,Female,Graduate,Mexico,2.0,WhatsApp,1,6.5,Single,0.0,,0,1,0,6,0
199,21,Female,Undergraduate,Mexico,3.0,YouTube,1,8.5,Single,0.0,,0,0,0,4,0
200,92,Female,Graduate,Ecuador,10.0,TikTok,1,2.0,Single,0.0,,0,1,4,3,0
201,19,Male,High_School,Mexico,4.5,TikTok,1,7.0,In Relationship,0.0,,1,3,0,3,1
202,20,Female,Undergraduate,Mexico,4.0,Instagram,1,8.0,In Relationship,0.0,,0,0,0,2,1
203,32,Male,Graduate,Italy,1.0,Facebook,0,9.0,Complicated,0.0,,1,1,5,1,2
204,20,Female,Graduate,Mexico,9.5,TikTok,1,9.5,Single,0.0,,0,1,0,3,0
205,21,Male,Undergraduate,Mexico,9.5,TikTok,1,5.0,In Relationship,0.0,,1,0,0,3,1
206,19,Female,Graduate,Mexico,8.0,TikTok,1,7.5,Single,0.0,,0,1,0,3,0
207,22,Female,Undergraduate,Mexico,7.5,TikTok,1,7.0,Single,0.0,,0,0,0,3,0
208,24,Male,Undergraduate,Mexico,6.5,TikTok,1,7.5,In Relationship,0.0,,1,0,0,3,1
209,19,Male,High_School,Mexico,2.5,TikTok,1,7.5,Single,0.0,,1,3,0,3,0
210,25,Female,Undergraduate,Mexico,1.5,WhatsApp,1,5.0,Single,0.0,,0,0,0,6,0
211,28,Male,High_School,Mexico,4.5,TikTok,1,6.5,Complicated,0.0,,1,3,0,3,2
212,20,Male,High_School,Mexico,4.5,Instagram,1,4.0,In Relationship,0.0,,1,3,0,2,1
213,24,Male,Undergraduate,Mexico,4.0,Twitter (X),1,7.5,In Relationship,0.0,,1,0,0,7,1
214,30,Female,Graduate,Mexico,2.5,LinkedIn,0,6.0,In Relationship,0.0,,0,1,0,5,1
215,21,Male,Undergraduate,Mexico,8.0,WhatsApp,1,8.0,Single,0.0,,1,0,0,6,0
216,23,Male,Undergraduate,Mexico,4.5,TikTok,1,4.0,Single,0.0,,1,0,0,3,0
217,18,Female,High_School,Mexico,4.5,Instagram,1,7.0,Single,0.0,,0,3,0,2,0
218,19,Female,Undergraduate,Mexico,4.5,Instagram,1,7.5,In Relationship,0.0,,0,0,0,2,1
219,18,Male,High_School,Mexico,8.0,Instagram,1,4.5,Single,0.0,,1,3,0,2,0
220,17,Male,High_School,Mexico,4.0,TikTok,1,6.5,Single,0.0,,1,3,0,3,0
221,18,Male,High_School,Mexico,6.5,TikTok,1,6.0,In Relationship,0.0,,1,3,0,3,1
222,18,Male,High_School,Mexico,5.5,TikTok,1,7.0,Single,0.0,,1,3,0,3,0
223,18,Male,High_School,Mexico,3.5,TikTok,1,7.0,Single,0.0,,1,3,0,3,0
224,19,Male,Undergraduate,Mexico,4.5,TikTok,1,5.5,Single,0.0,,1,0,0,3,0
225,17,Male,High_School,Mexico,4.0,Instagram,1,6.5,In Relationship,0.0,,1,3,0,2,1
226,24,Male,High_School,Mexico,5.5,TikTok,1,8.5,In Relationship,0.0,,1,3,0,3,1
227,22,Male,Undergraduate,Bolivia,5.0,TikTok,1,9.0,Single,0.0,,1,0,6,3,0
228,22,Female,Undergraduate,Ecuador,1.0,Instagram,0,6.0,In Relationship,0.0,,0,0,4,2,1
229,18,Female,High_School,Ukraine,4.0,Twitter (X),1,9.0,In Relationship,0.0,,0,3,7,7,1
230,23,Male,Undergraduate,Mexico,3.5,Instagram,1,5.0,Single,0.0,,1,0,0,2,0
231,25,Male,Undergraduate,Mexico,5.0,TikTok,1,7.5,In Relationship,0.0,,1,0,0,3,1
232,24,Male,Undergraduate,Mexico,4.0,TikTok,1,8.0,Single,0.0,,1,0,0,3,0
233,22,Male,Undergraduate,Mexico,8.0,WhatsApp,0,7.0,In Relationship,0.0,,1,0,0,6,1
234,21,Female,Undergraduate,Mexico,5.0,TikTok,0,7.0,Single,2.0,,0,0,0,3,0
235,20,Male,Undergraduate,Mexico,4.0,TikTok,0,7.0,Complicated,0.0,,1,0,0,3,2
236,20,Male,Undergraduate,Mexico,10.0,TikTok,1,11.0,In Relationship,0.0,,1,0,0,3,1
237,22,Male,Undergraduate,Mexico,6.0,TikTok,1,6.0,Complicated,0.0,,1,0,0,3,2
238,22,Male,Undergraduate,Mexico,6.0,TikTok,1,6.0,Complicated,0.0,,1,0,0,3,2
239,21,Male,Undergraduate,Mexico,3.0,TikTok,0,7.0,Single,2.0,,1,0,0,3,0
240,22,Male,Undergraduate,Mexico,5.0,TikTok,0,6.0,Single,0.0,,1,0,0,3,0
241,21,Male,Undergraduate,Mexico,4.0,TikTok,0,6.0,Single,0.0,,1,0,0,3,0
242,22,Male,High School,Mexico,4.0,Instagram,1,7.0,Single,3.0,,1,2,0,2,0
243,21,Male,Undergraduate,Mexico,5.0,Instagram,0,4.0,Single,0.0,,1,0,0,2,0
244,21,Male,Undergraduate,Mexico,3.0,TikTok,0,7.0,Complicated,0.0,,1,0,0,3,2
245,21,Female,Undergraduate,Mexico,11.0,Instagram,1,13.0,In Relationship,6.0,,0,0,0,2,1
246,20,Male,Graduate,Mexico,9.0,Instagram,1,6.0,Single,4.0,,1,1,0,2,0
247,21,Female,High School,Mexico,10.0,TikTok,1,9.0,Complicated,3.0,,0,2,0,3,2
248,20,Male,Graduate,Mexico,7.0,Instagram,0,7.0,Single,0.0,,1,1,0,2,0
249,23,Male,High School,Mexico,3.0,TikTok,0,9.0,Single,0.0,,1,2,0,3,0
250,21,Female,Undergraduate,Mexico,6.0,Facebook,1,6.0,In Relationship,0.0,,0,0,0,1,1
251,20,Male,Undergraduate,Mexico,6.0,Twitter,1,6.0,Single,0.0,,1,0,0,0,0
252,16,Male,High School,Mexico,3.0,WhatsApp,0,7.0,Single,2.0,,1,2,0,6,0
253,21,Female,Undergraduate,Mexico,4.0,WhatsApp,0,7.0,Single,0.0,,0,0,0,6,0
254,35,Male,Undergraduate,Armenia,6.0,WhatsApp,1,7.0,In Relationship,3.0,,1,0,8,6,1
255,32,Male,High School,Mexico,0.0,TikTok,0,7.0,In Relationship,1.0,,1,2,0,3,1
256,20,Male,Undergraduate,Mexico,3.0,Instagram,0,7.0,Single,0.0,,1,0,0,2,0
257,22,Male,Undergraduate,Mexico ,4.0,YouTube,0,6.0,In Relationship,2.0,,1,0,9,4,1
258,21,Female,Undergraduate,Mexico,10.0,Instagram,1,6.0,In Relationship,3.0,,0,0,0,2,1
259,21,Female,Undergraduate,Mexico,10.0,Instagram,1,6.0,In Relationship,3.0,,0,0,0,2,1
260,21,Male,Undergraduate,Mexico,9.0,TikTok,1,2.0,Single,0.0,,1,0,0,3,0
261,21,Female,Undergraduate,Mexico,9.0,TikTok,1,13.0,In Relationship,3.0,,0,0,0,3,1
262,19,Male,High School,Mexico,7.0,Instagram,0,7.0,In Relationship,1.0,,1,2,0,2,1
